timestamp,power_kw,runtime_hours,temperature_c,load_percent,energy_kwh
2026-05-29T13:40:44.373711,135.1,13.6,38.7,39.4,1929.5
2026-05-29T13:40:47.375027,55.3,7.2,73.6,79.7,600.9
2026-05-29T13:40:50.377087,193.8,3.5,54.3,40.5,796.3
2026-05-29T13:40:53.378745,89.3,9.0,61.8,96.6,1033.3
2026-05-29T13:40:56.380418,130.2,24.0,83.1,50.4,3269.0
2026-05-29T13:40:59.381881,57.4,11.8,78.4,37.8,788.1
2026-05-29T13:41:02.383625,148.9,22.8,22.3,36.9,3479.6
2026-05-29T13:41:05.385775,58.2,22.8,26.8,67.3,1474.7
2026-05-29T13:41:08.387292,198.7,5.8,35.6,68.0,1310.4
2026-05-29T13:41:11.388330,71.8,16.5,34.4,78.6,1367.4
2026-05-29T13:41:14.390483,86.7,11.7,46.0,42.6,1114.8
2026-05-29T13:41:17.391972,182.1,0.3,64.6,50.7,193.4
2026-05-29T13:41:20.393325,59.5,18.0,22.6,90.9,1267.3
2026-05-29T13:41:23.395206,117.0,3.2,65.3,73.2,560.3
2026-05-29T13:41:26.396811,111.7,6.9,66.1,96.2,1000.0
2026-05-29T13:41:29.398468,50.6,0.1,49.0,33.3,97.4
2026-05-29T13:41:32.400862,196.4,21.9,21.8,78.5,4478.4
2026-05-29T13:41:35.402594,110.6,2.3,68.0,72.8,438.7
2026-05-29T13:41:38.404117,168.7,13.9,75.8,96.0,2569.2
2026-05-29T13:41:41.407038,128.4,20.7,30.4,42.4,2761.9
2026-05-29T13:41:44.408827,60.1,3.2,40.3,53.0,316.1
2026-05-29T13:41:47.410677,150.2,2.7,52.2,45.0,522.8
2026-05-29T13:41:50.441318,197.7,8.8,39.2,37.4,1833.0
